BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area
0707892 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=320&street=ABBOTT%20STREET;320;ABBOTT STREET;3;60;"{""type"": ""Point"", ""coordinates"": [-123.10664756, 49.28261413]}";Downtown
Central City Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=ABBOTT%20STREET;404;ABBOTT STREET;1;71;"{""type"": ""Point"", ""coordinates"": [-123.10713559, 49.2816849]}";Downtown
Lily Jang;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1785&street=ADANAC%20STREET;1785;ADANAC STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.06878722, 49.27780288]}";Grandview-Woodland
Entre Nous Femmes Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1656&street=ADANAC%20STREET;1656;ADANAC STREET;2;46;"{""type"": ""Point"", ""coordinates"": [-123.07200187, 49.27733406]}";Grandview-Woodland
KBK No 51 Ventures Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1128&street=ALBERNI%20STREET;1128;ALBERNI STREET;2;147;"{""type"": ""Point"", ""coordinates"": [-123.12497306, 49.28570614]}";West End
Railtown Land Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=688&street=ALEXANDER%20STREET;688;ALEXANDER STREET;2;9;"{""type"": ""Point"", ""coordinates"": [-123.08984246, 49.28364955]}";Strathcona
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=362&street=ALEXANDER%20STREET;362;ALEXANDER STREET;18;37;"{""type"": ""Point"", ""coordinates"": [-123.09569679, 49.28375815]}";Strathcona
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=346&street=ALEXANDER%20STREET;346;ALEXANDER STREET;2;63;"{""type"": ""Point"", ""coordinates"": [-123.09632589, 49.28376978]}";Strathcona
Marjorie D Ross & Andrew A Ross;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1646&street=ALMA%20STREET;1646;ALMA STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.18532717, 49.27150491]}";Kitsilano
Shane Mortimer & Aileen Mortimer;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1846&street=ARBUTUS%20STREET;1846;ARBUTUS STREET;1;6;"{""type"": ""Point"", ""coordinates"": [-123.15255932, 49.26925433]}";Kitsilano
Coast Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=6055&street=BALSAM%20STREET;6055;BALSAM STREET;1;35;"{""type"": ""Point"", ""coordinates"": [-123.16187504, 49.23185214]}";Kerrisdale
1040 Barclay Street Enterprises Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1040&street=BARCLAY%20STREET;1040;BARCLAY STREET;5;40;"{""type"": ""Point"", ""coordinates"": [-123.12626328, 49.28235605]}";West End
Skyline Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1139&street=BARCLAY%20STREET;1139;BARCLAY STREET;5;42;"{""type"": ""Point"", ""coordinates"": [-123.12844744, 49.28452643]}";West End
Tarsem Gill;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1172&street=BARCLAY%20STREET;1172;BARCLAY STREET;1;10;"{""type"": ""Point"", ""coordinates"": [-123.12897386, 49.28412239]}";West End
1770 Barclay Street Holding Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1770&street=BARCLAY%20STREET;1770;BARCLAY STREET;5;84;"{""type"": ""Point"", ""coordinates"": [-123.13747968, 49.28961087]}";West End
Tang Realty Development Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1865&street=BARCLAY%20STREET;1865;BARCLAY STREET;2;40;"{""type"": ""Point"", ""coordinates"": [-123.13827675, 49.29088725]}";West End
Razgul Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2010&street=BARCLAY%20STREET;2010;BARCLAY STREET;11;39;"{""type"": ""Point"", ""coordinates"": [-123.14105362, 49.29193546]}";West End
Beach Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1133&street=BEACH%20AVENUE;1133;BEACH AVENUE;4;128;"{""type"": ""Point"", ""coordinates"": [-123.13589557, 49.27870624]}";West End
Broadway Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1265&street=BEACH%20AVENUE;1265;BEACH AVENUE;6;47;"{""type"": ""Point"", ""coordinates"": [-123.13796317, 49.28036018]}";West End
Bonniehon Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1395&street=BEACH%20AVENUE;1395;BEACH AVENUE;2;91;"{""type"": ""Point"", ""coordinates"": [-123.13902871, 49.28163305]}";West End
Harob Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1531&street=BEACH%20AVENUE;1531;BEACH AVENUE;1;40;"{""type"": ""Point"", ""coordinates"": [-123.14099495, 49.28290124]}";West End
Finimaan Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1215&street=BEACH%20AVENUE;1215;BEACH AVENUE;1;49;"{""type"": ""Point"", ""coordinates"": [-123.13719979, 49.27974989]}";West End
Glassman Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=BIDWELL%20STREET;1260;BIDWELL STREET;1;76;"{""type"": ""Point"", ""coordinates"": [-123.14120488, 49.28507647]}";West End
